points,superior_rating,price,Rich,Soft,age,rich,year,soft,light,fruity,attractive,great,richness,dense,intense,powerful,long,variety
91,1,1.8293045578687401,1,0,0.20291964320499106,0.2143879281822868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3291783845637296,Champagne Blend
87,0,1.6128303280571636,0,0,0.0,0.0,0.0,0.0,0.0,0.3883082187669756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
87,0,1.7826382233807831,0,0,0.23563256980052674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
90,1,1.7886649117766558,0,1,0.0,0.0,0.0,0.0,0.34295093580235114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rosé
87,0,1.837790416705353,0,1,0.28543191424933634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
90,1,1.956696898014416,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Syrah
91,1,1.6288914380896082,1,0,0.0,0.26462468232722386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red Blend
91,1,1.8053469041633896,1,0,0.0,0.27010958685966974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3772923549401467,0.0,0.0,0.4147352801601856,Syrah
94,1,2.0064565773372,1,0,0.0,0.3099316344035753,0.0,0.0,0.0,0.3700890524025213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Syrah
87,0,1.4425776540291462,1,0,0.0,0.28855447426591796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gamay
86,0,1.657450685768658,1,0,0.0,0.3616829777190544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gewürztraminer
87,0,1.5551302597192842,0,0,0.0,0.0,0.36198466992119305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
90,1,1.713704021675243,1,0,0.0,0.0,0.25799189133869904,0.0,0.0,0.0,0.0,0.0,0.3222065819479796,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
83,0,1.505645500223933,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3415765934031751,0.0,0.0,0.0,0.0,0.0,0.0,Chenin Blanc
93,1,1.731849630033596,0,0,0.16632208469508086,0.0,0.0,0.0,0.0,0.0,0.0,0.23626398638825652,0.0,0.0,0.0,0.0,0.0,Alsace white blend
87,0,1.79444802800064,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
93,1,1.576205308822663,0,0,0.23954181388743215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tannat
87,0,1.4037376194831213,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White Blend
86,0,1.6288914380896082,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhône-style Red Blend
87,0,1.8732680991352706,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.38825735371207665,0.0,0.0,0.0,0.0,0.0,0.45193850723594686,Gewürztraminer
94,1,1.8202289859073943,0,0,0.0,0.0,0.0,0.0,0.30100703008020563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Muscat
90,1,1.837790416705353,1,0,0.0,0.23582378080949723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style White Blend
88,0,1.6821606241402574,0,0,0.0,0.0,0.2596705466738849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhône-style Red Blend
87,0,1.900486575142383,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3088470211553,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
87,0,1.505645500223933,1,1,0.0,0.2940533219504297,0.0,0.3313198865520225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
90,1,1.8732680991352706,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Syrah
84,0,1.4425776540291462,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2939708079082751,0.0,0.0,Rosé
90,1,1.8154477680247336,0,0,0.3973110294485656,0.0,0.22820398744516465,0.0,0.0,0.0,0.0,0.0,0.0,0.29316685598717557,0.0,0.0,0.0,Malbec
85,0,1.4425776540291462,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Syrah
90,1,1.8876965711860154,0,0,0.2315367617733421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34169151855035373,0.0,0.0,0.0,Pinot Noir
88,0,1.9261054035812881,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4027993167068902,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
92,1,1.8876965711860154,1,0,0.0,0.334885155035778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
92,1,1.8636675993480407,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
93,1,2.069213780262315,0,1,0.0,0.0,0.0,0.2813589540965937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
